AvailabilityID,BranchID,Status
1,6,Graphic Novel - Young Adult Fiction
2,6,Graphic Novel - Young Adult Fiction
3,6,Checked Out
4,6,Graphic Novel - Young Adult Fiction
5,6,Checked Out
6,6,Checked Out
7,6,Checked Out
8,6,Checked Out
9,6,Graphic Novel - Young Adult Fiction
10,3,Checked Out
11,5,Graphic Novel - Young Adult Fiction
12,2,Graphic Novel - Young Adult Fiction
13,3,Graphic Novel - Young Adult Fiction
14,2,Graphic Novel - Young Adult Fiction
15,3,Graphic Novel - Young Adult Fiction
16,2,Graphic Novel - Young Adult Fiction
17,6,Checked Out
18,1,Graphic Novel - Young Adult Fiction
19,3,Graphic Novel - Young Adult Fiction
20,5,Checked Out
21,2,Graphic Novel - Young Adult Fiction
22,6,Graphic Novel - Young Adult Fiction
23,6,Checked Out
24,1,Graphic Novel - Young Adult Fiction
25,3,Graphic Novel - Young Adult Fiction
26,5,Graphic Novel - Young Adult Fiction
27,2,Graphic Novel - Young Adult Fiction
28,1,Graphic Novel - Young Adult Fiction
29,3,Graphic Novel - Young Adult Fiction
30,5,Graphic Novel - Young Adult Fiction
31,2,Graphic Novel - Young Adult Fiction
32,6,Checked Out
33,1,Graphic Novel - Young Adult Fiction
34,3,Graphic Novel - Young Adult Fiction
35,5,Graphic Novel - Young Adult Fiction
36,2,Graphic Novel - Young Adult Fiction
37,6,Graphic Novel - Young Adult Fiction
38,1,Checked Out
39,3,Graphic Novel - Young Adult Fiction
40,5,Graphic Novel - Young Adult Fiction
41,2,Graphic Novel - Young Adult Fiction
42,6,Graphic Novel - Young Adult Fiction
43,1,Graphic Novel - Young Adult Fiction
44,5,Graphic Novel - Young Adult Fiction
45,2,Graphic Novel - Young Adult Fiction
46,1,Graphic Novel - Young Adult Fiction
47,3,Graphic Novel - Young Adult Fiction
48,5,Graphic Novel - Young Adult Fiction
49,2,Graphic Novel - Young Adult Fiction
50,1,Graphic Novel - Young Adult Fiction
51,3,Graphic Novel - Young Adult Fiction
52,2,Graphic Novel - Young Adult Fiction
53,6,Checked Out
54,1,Graphic Novel - Young Adult Fiction
55,3,Graphic Novel - Young Adult Fiction
56,5,Graphic Novel - Young Adult Fiction
57,2,Graphic Novel - Young Adult Fiction
58,1,Graphic Novel - Young Adult Fiction
59,5,Graphic Novel - Young Adult Fiction
60,6,Graphic Novel - Young Adult Fiction
61,1,Graphic Novel - Young Adult Fiction
62,3,Graphic Novel - Young Adult Fiction
63,5,Graphic Novel - Young Adult Fiction
64,2,Graphic Novel - Young Adult Fiction
65,1,Graphic Novel - Young Adult Fiction
66,5,Graphic Novel - Young Adult Fiction
67,1,Graphic Novel - Young Adult Fiction
68,3,Graphic Novel - Young Adult Fiction
69,5,Graphic Novel - Young Adult Fiction
70,6,Graphic Novel - Young Adult Fiction
71,6,Graphic Novel - Young Adult Fiction
72,1,Graphic Novel - Young Adult Fiction
73,1,Graphic Novel - Young Adult Fiction
74,2,Graphic Novel - Young Adult Fiction
75,1,Checked Out
76,3,Graphic Novel - Young Adult Fiction
77,5,Graphic Novel - Young Adult Fiction
78,2,Graphic Novel - Young Adult Fiction
79,6,Graphic Novel - Young Adult Fiction
80,6,Graphic Novel - Young Adult Fiction
81,3,Graphic Novel - Young Adult Fiction
82,5,Graphic Novel - Young Adult Fiction
83,2,Graphic Novel - Young Adult Fiction
84,1,Graphic Novel - Young Adult Fiction
85,3,Checked Out
86,5,Graphic Novel - Young Adult Fiction
87,2,Graphic Novel - Young Adult Fiction
88,6,Checked Out
89,6,Checked Out
