LibraryName,URL
LeRoy Collins Leon County Public Library,https://cms.leoncountyfl.gov/library
Alachua County Library District,https://www.aclib.us/
Altamonte Springs City Library,https://altamontespringscity.library.site/
Apalachicola Municipal Library,https://www.apalachicolalibrary.com/
Auburndale Public Library,https://www.auburndalefl.com/library/
Baker County   Emily Taber Public Library,https://www.newriverlibrary.org/etpl/
Bartow Public Library,https://pclc.ent.sirsi.net/client/en_US/bartow
Bay County Public Library/Northwest Regional Library System,https://www.nwrls.com/
Blind Services   Braille and Talking Book Library,https://dbs.fldoe.org/Library/index.html
Boca Raton Public Library,https://www.myboca.us/2020/Library
Boynton Beach City Library,https://www.boynton beach.org/city library
Bradford County Public Library,https://www.newriverlibrary.org/etpl/
Brevard County Library System,https://www.brevardfl.gov//PublicLibraries
Brockway Memorial Library,https://www.msvfl.gov/library
Broward County Library,https://www.broward.org/library/Pages/Default.aspx
Bruton Memorial Library,https://www.plantcitygov.com/library
Calhoun County Public Library,https://ccpl fl.net/
Charlotte County Library System,https://charlottefl.ent.sirsi.net/client/en_US/libraries
Citrus County Library System,https://www.citruslibraries.org/
Clay County Library System,https://www.claycountygov.com/community/library
Clearwater Public Library System,https://www.myclearwaterlibrary.com/home
Collier County Public Library,https://www.collierlibrary.org/
Columbia County Public Library,https://ccpl.ent.sirsi.net/client/en_US/default
Crestview   Robert L.F. Sikes Public Library,https://www.cityofcrestview.org/178/Library
Cybrarium Homestead,https://cybrarium.org/
Delray Beach Public Library,https://www.delraylibrary.org/
DeFuniak Springs Library,https://www.co.walton.fl.us/461/DeFuniak Springs Library
DeSoto County Library,https://myhlc.org/2020/03/09/desoto 3 20 newsletter/
Destin Public Library,https://www.cityofdestin.com/105/Library
Dixie County Public Library,http://3riverslibrary.com/
Dundee Public Library,https://townofdundee.com/departments/cultural affairs/libraries/
Dunedin Public Library,https://www.dunedingov.com/city departments/library
Eagle Lake Public Library,https://www.eaglelake fla.com/library
East Lake Community Library,https://www.eastlakelibrary.org/
Eustis Memorial Library,https://eustismemoriallibrary.org/
Flagler Beach City Library,https://www.cityofflaglerbeach.com/125/Library
Flagler County Public Library,https://www.flaglercounty.gov/departments/library
Ft. Meade Public Library,https://www.cityoffortmeade.com/departments/library.php
Fort Myers Beach Public Library,http://catalog.fmb.lib.fl.us/
City of Fort Walton Beach Library,https://www.fwb.org/parksrec/page/library
Franklin County Public Library,https://fcpl.wildernesscoast.org/
Fruitland Park Public Library,https://www.mylakelibrary.org/libraries/fruitland_park_library.aspx
Gadsden County Public Library,http://www2.youseemore.com/gadsden/
Gilchrist County Public Library,http://3riverslibrary.com/
Glades County Public Library,https://myhlc.org/2019/01/04/glades county art in the park/
Gulf Beaches Public Library,https://www.gulfbeacheslibrary.org/
Gulf County Public Library,https://www.nwrls.com/
Gulfport Public Library,https://mygulfport.us/gpl/
Haines City Public Library,https://hainescity.com/171/Library
Hamilton County Library,https://librarytechnology.org/library/16031
Hardee County Public Library,https://myhlc.org/hardee/
Heartland Library Cooperative,https://myhlc.org/
Helen Lehmann Memorial Library Montverde,https://www.mylakelibrary.org/libraries/helen_lehmann_memorial_library.aspx
Hendry County Library System,http://www.hendrylibraries.org/
Hernando County Public Library,https://hernandocountylibrary.us/
Hialeah Public Libraries,http://www.hialeahfl.gov/317/Libraries
Highland Beach Library,https://www.highlandbeach.us/231/Library
Highlands County Public Library,https://myhlc.org/
Hillsborough County Public Library Cooperative,https://www.hcplc.org/
Holmes County Public Library,https://www.myhcpl.org/
Marianne Beck Memorial Library Howey in the Hills,https://www.mylakelibrary.org/libraries/marianne_beck_memorial.aspx
Indian River County Library System,https://libraries.ircgov.com/
Indian Rocks Beach Library,http://www.indian rocks beach.com/irb_library.php
Jackson County Public Library,https://jcplfl.org/
Jacksonville Public Libraries,https://jaxpubliclibrary.org/
Jefferson County Public Library,https://jcpl.wildernesscoast.org/
Lady Lake Public Library,https://www.mylakelibrary.org/libraries/lady_lake_public_library.aspx
Lafayette County Public Library,http://3riverslibrary.com/
Lake Alfred Public Library,https://www.mylakealfred.com/193/Public Library
Lake County Library System,https://www.mylakelibrary.org/
Lake Park Public Library,https://www.lakeparkflorida.gov/government/departments/lake park public library/contact us/partners/library cooperatives
Lake Wales Public Library,https://mypclc.org/client/en_US/mypclc
Lake Worth Beach City Library,https://lakeworthbeachfl.gov/lake worth beach city library/
Lakeland Public Library,https://www.lakelandgov.net/departments/library
Lantana Public Library,https://www.lantanalibrary.org/
Largo Public Library,http://cms7.revize.com/revize/largolibrary/
Latt Maxcy Memorial Library   Frostproof,http://lattmaxcymemoriallibrary.blogspot.com/
Lee County Library System,https://www.leegov.com/library
Leesburg Public Library,https://www.leesburgflorida.gov/government/departments/library/index.php
Leon County Public Library,https://cms.leoncountyfl.gov/Library
Levy County Public Library System,https://www.levycounty.org/department/library_system_ _new_page/index.php
Liberty County Public Library,https://www.nwrls.com/harrell memorial public library/
Lighthouse Point Library,https://lighthousepointlibrary.com/community/
Lynn Haven Public Library,https://www.cityoflynnhaven.com/224/Library
Madison Public Libraries,https://suw.ent.sirsi.net/client/en_US/default?rm=MADISON0%7C%7C%7C1%7C%7C%7C0%7C%7C%7Ctrue
Maitland Public Library,https://www.maitlandpubliclibrary.org/
Manatee County Public Library System,https://www.mymanatee.org/departments/manatee_county_public_library_system
Marianne Beck Memorial Library Howey in the Hills,https://www.mylakelibrary.org/libraries/marianne_beck_memorial.aspx
Marion County Public Library System,https://library.marionfl.org/home library
Martin County Public Library,https://www.martin.fl.us/Libraries
Mary Esther Public Library,https://www.cityofmaryesther.com/186/Library
Miami Dade Public Library System,https://www.mdpls.org/
Minneola Schoolhouse Library,https://www.mylakelibrary.org/libraries/minneola_schoolhouse_library.aspx
Monroe County Public Libraries,https://keyslibraries.org/
Helen Lehmann Memorial Library Montverde,https://www.mylakelibrary.org/libraries/helen_lehmann_memorial_library.aspx
W. T. Bland Public Library Mount Dora,https://www.mylakelibrary.org/libraries/wt_bland_public_library.aspx
Mulberry Public Library,https://mulberrylibrary.com/
Nassau County Public Libraries,https://nassaureads.com/
New Port Richey Public Library,https://nprlibrary.org/
New River Public Library Cooperative,https://www.newriverlibrary.org/
