MangaID,Title,Type,Volumes,Members,Score,Author,CoverMedium,CoverLarge
2,Berserk,Manga,NULL,798261,9.46,Miura,https://cdn.myanimelist.net/images/manga/1/157897.jpg,https://cdn.myanimelist.net/images/manga/1/157897l.jpg
1706,JoJo's Bizarre Adventure Part 7: Steel Ball Run,Manga,24,325508,9.34,Araki,https://cdn.myanimelist.net/images/manga/3/179882.jpg,https://cdn.myanimelist.net/images/manga/3/179882l.jpg
656,Vagabond,Manga,37,459590,9.27,Inoue,https://cdn.myanimelist.net/images/manga/1/259070.jpg,https://cdn.myanimelist.net/images/manga/1/259070l.jpg
13,One Piece,Manga,NULL,699174,9.21,Oda,https://cdn.myanimelist.net/images/manga/2/253146.jpg,https://cdn.myanimelist.net/images/manga/2/253146l.jpg
162032,Lord of Mysteries,Novel,18,23987,9.19,Ai Qianshui de Wuzei,https://cdn.myanimelist.net/images/manga/2/287344.jpg,https://cdn.myanimelist.net/images/manga/2/287344l.jpg
1,Monster,Manga,18,290326,9.16,Urasawa,https://cdn.myanimelist.net/images/manga/3/258224.jpg,https://cdn.myanimelist.net/images/manga/3/258224l.jpg
51,Slam Dunk,Manga,31,200815,9.09,Inoue,https://cdn.myanimelist.net/images/manga/2/258749.jpg,https://cdn.myanimelist.net/images/manga/2/258749l.jpg
642,Vinland Saga,Manga,29,361500,9.09,Yukimura,https://cdn.myanimelist.net/images/manga/2/188925.jpg,https://cdn.myanimelist.net/images/manga/2/188925l.jpg
147272,The Greatest Estate Developer,Manhwa,NULL,86381,9.09,Moon,https://cdn.myanimelist.net/images/manga/1/290131.jpg,https://cdn.myanimelist.net/images/manga/1/290131l.jpg
143441,Omniscient Reader's Viewpoint,Novel,20,35130,9.05,sing N song,https://cdn.myanimelist.net/images/manga/1/265768.jpg,https://cdn.myanimelist.net/images/manga/1/265768l.jpg
25,Fullmetal Alchemist,Manga,27,323948,9.04,Arakawa,https://cdn.myanimelist.net/images/manga/3/243675.jpg,https://cdn.myanimelist.net/images/manga/3/243675l.jpg
70345,Grand Blue Dreaming,Manga,NULL,202149,9.04,Inoue,https://cdn.myanimelist.net/images/manga/2/166124.jpg,https://cdn.myanimelist.net/images/manga/2/166124l.jpg
130826,Heaven Official's Blessing: Tian Guan Ci Fu,Novel,6,22409,9.03,Mo Xiang Tong Xiu,https://cdn.myanimelist.net/images/manga/3/258775.jpg,https://cdn.myanimelist.net/images/manga/3/258775l.jpg
16765,Kingdom,Manga,NULL,202073,9.02,Hara,https://cdn.myanimelist.net/images/manga/2/171872.jpg,https://cdn.myanimelist.net/images/manga/2/171872l.jpg
44489,Land of the Lustrous,Manga,13,173882,8.99,Ichikawa,https://cdn.myanimelist.net/images/manga/1/115443.jpg,https://cdn.myanimelist.net/images/manga/1/115443l.jpg
657,Real,Manga,NULL,111433,8.98,Inoue,https://cdn.myanimelist.net/images/manga/2/115969.jpg,https://cdn.myanimelist.net/images/manga/2/115969l.jpg
4632,Goodnight Punpun,Manga,13,520820,8.97,Asano,https://cdn.myanimelist.net/images/manga/3/266834.jpg,https://cdn.myanimelist.net/images/manga/3/266834l.jpg
34053,Umineko When They Cry Episode 8: Twilight of the Golden Witch,Manga,9,24258,8.96,Natsumi,https://cdn.myanimelist.net/images/manga/3/206205.jpg,https://cdn.myanimelist.net/images/manga/3/206205l.jpg
1303,Ashita no Joe: Fighting for Tomorrow,Manga,20,65729,8.95,Kajiwara,https://cdn.myanimelist.net/images/manga/1/268827.jpg,https://cdn.myanimelist.net/images/manga/1/268827l.jpg
133431,Uma Musume Cinderella Gray,Manga,23,10999,8.95,Kuzumi,https://cdn.myanimelist.net/images/manga/3/240780.jpg,https://cdn.myanimelist.net/images/manga/3/240780l.jpg
3,20th Century Boys,Manga,22,311762,8.93,Urasawa,https://cdn.myanimelist.net/images/manga/5/260006.jpg,https://cdn.myanimelist.net/images/manga/5/260006l.jpg
104,Yotsuba&!,Manga,NULL,179283,8.92,Azuma,https://cdn.myanimelist.net/images/manga/5/259524.jpg,https://cdn.myanimelist.net/images/manga/5/259524l.jpg
14893,Monogatari Series: First Season,Light Novel,6,67135,8.92,NISIO,https://cdn.myanimelist.net/images/manga/2/279887.webp,https://cdn.myanimelist.net/images/manga/2/279887l.webp
23751,Monogatari Series: Second Season,Light Novel,6,28206,8.92,NISIO,https://cdn.myanimelist.net/images/manga/2/181553.jpg,https://cdn.myanimelist.net/images/manga/2/181553l.jpg
121405,Grandmaster of Demonic Cultivation: Mo Dao Zu Shi,Novel,4,14826,8.9,Mo Xiang Tong Xiu,https://cdn.myanimelist.net/images/manga/3/258745.jpg,https://cdn.myanimelist.net/images/manga/3/258745l.jpg
126479,Three Days of Happiness,Novel,1,43882,8.9,Miaki,https://cdn.myanimelist.net/images/manga/3/248674.webp,https://cdn.myanimelist.net/images/manga/3/248674l.webp
90125,Kaguya-sama: Love Is War,Manga,28,305674,8.88,Akasaka,https://cdn.myanimelist.net/images/manga/3/188896.jpg,https://cdn.myanimelist.net/images/manga/3/188896l.jpg
86769,The Apothecary Diaries,Light Novel,NULL,25872,8.87,Hyuuga,https://cdn.myanimelist.net/images/manga/2/176943.jpg,https://cdn.myanimelist.net/images/manga/2/176943l.jpg
126287,Frieren: Beyond Journey's End,Manga,NULL,173969,8.87,Yamada,https://cdn.myanimelist.net/images/manga/3/232121.jpg,https://cdn.myanimelist.net/images/manga/3/232121l.jpg
336,GTO: Great Teacher Onizuka,Manga,25,191005,8.86,Fujisawa,https://cdn.myanimelist.net/images/manga/2/172982.jpg,https://cdn.myanimelist.net/images/manga/2/172982l.jpg
1224,March Comes in Like a Lion,Manga,NULL,80508,8.86,Umino,https://cdn.myanimelist.net/images/manga/2/52283.jpg,https://cdn.myanimelist.net/images/manga/2/52283l.jpg
35243,Haikyu!!,Manga,45,244292,8.86,Furudate,https://cdn.myanimelist.net/images/manga/2/258225.jpg,https://cdn.myanimelist.net/images/manga/2/258225l.jpg
44227,Monogatari Series: Final Season,Light Novel,6,23399,8.86,NISIO,https://cdn.myanimelist.net/images/manga/1/181554.jpg,https://cdn.myanimelist.net/images/manga/1/181554l.jpg
56805,A Silent Voice,Manga,7,292704,8.86,Ooima,https://cdn.myanimelist.net/images/manga/1/120529.jpg,https://cdn.myanimelist.net/images/manga/1/120529l.jpg
104039,86: Eighty-Six,Light Novel,NULL,52659,8.86,Shirabi,https://cdn.myanimelist.net/images/manga/3/194315.jpg,https://cdn.myanimelist.net/images/manga/3/194315l.jpg
74697,Re:ZERO -Starting Life in Another World-,Light Novel,NULL,85156,8.85,Nagatsuki,https://cdn.myanimelist.net/images/manga/1/129447.jpg,https://cdn.myanimelist.net/images/manga/1/129447l.jpg
7375,The Climber,Manga,17,155013,8.84,Sakamoto,https://cdn.myanimelist.net/images/manga/1/324690.jpg,https://cdn.myanimelist.net/images/manga/1/324690l.jpg
21525,Yona of the Dawn,Manga,48,154268,8.83,Kusanagi,https://cdn.myanimelist.net/images/manga/2/269202.jpg,https://cdn.myanimelist.net/images/manga/2/269202l.jpg
28,Nana,Manga,21,175113,8.82,Yazawa,https://cdn.myanimelist.net/images/manga/1/262324.jpg,https://cdn.myanimelist.net/images/manga/1/262324l.jpg
70261,Mushoku Tensei: Jobless Reincarnation,Light Novel,26,101891,8.82,Rifujin na Magonote,https://cdn.myanimelist.net/images/manga/3/120337.jpg,https://cdn.myanimelist.net/images/manga/3/120337l.jpg
86119,Ascendance of a Bookworm: I'll Do Anything to Become a Librarian!,Light Novel,33,22329,8.82,Shiina,https://cdn.myanimelist.net/images/manga/1/149552.jpg,https://cdn.myanimelist.net/images/manga/1/149552l.jpg
178182,On the Way to Meet Mom,Manhwa,NULL,12768,8.82,Gomyang,https://cdn.myanimelist.net/images/manga/1/328009.jpg,https://cdn.myanimelist.net/images/manga/1/328009l.jpg
147769,No Home,Manhwa,NULL,12700,8.81,Wanan,https://cdn.myanimelist.net/images/manga/3/264873.jpg,https://cdn.myanimelist.net/images/manga/3/264873l.jpg
651,Nausicaä of the Valley of the Wind,Manga,7,68312,8.81,Miyazaki,https://cdn.myanimelist.net/images/manga/3/259856.jpg,https://cdn.myanimelist.net/images/manga/3/259856l.jpg
9115,Spice & Wolf,Light Novel,NULL,71111,8.81,Hasekura,https://cdn.myanimelist.net/images/manga/2/153860.jpg,https://cdn.myanimelist.net/images/manga/2/153860l.jpg
108177,Monogatari Series: Monster Season,Light Novel,6,10148,8.81,NISIO,https://cdn.myanimelist.net/images/manga/1/198051.jpg,https://cdn.myanimelist.net/images/manga/1/198051l.jpg
