Title,Type,Volumes,Members,Score
Berserk,Manga,NULL,637448,9.47
JoJo no Kimyou na Bouken Part 7: Steel Ball Run,Manga,24,246104,9.3
Vagabond,Manga,37,345175,9.23
One Piece,Manga,NULL,573384,9.22
Monster,Manga,18,226020,9.15
Slam Dunk,Manga,31,156001,9.08
Vinland Saga,Manga,NULL,279101,9.05
Fullmetal Alchemist,Manga,27,282763,9.03
Grand Blue,Manga,NULL,166433,9.03
Oyasumi Punpun,Manga,13,409969,9.02
Kingdom,Manga,NULL,159673,9.0
Houseki no Kuni,Manga,NULL,116538,8.96
20th Century Boys,Manga,22,233913,8.95
Ashita no Joe,Manga,20,48270,8.94
Monogatari Series: First Season,Light-Novel,6,56296,8.93
Real,Manga,NULL,79114,8.92
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Manga,28,254790,8.92
Mikkakan no Koufuku,Novel,1,23907,8.92
Monogatari Series: Second Season,Light-Novel,6,21719,8.91
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e,Light-Novel,14,79255,8.89
GTO,Manga,25,159533,8.89
3-gatsu no Lion,Manga,NULL,63269,8.88
Yotsuba to!,Manga,NULL,145973,8.88
Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e: 2-nensei-hen,Light-Novel,NULL,32223,8.88
Monogatari Series: Final Season,Light-Novel,6,17604,8.86
Koe no Katachi,Manga,7,259812,8.86
Umineko no Naku Koro ni Chiru - Episode 8: Twilight of the Golden Witch,Manga,9,15152,8.84
Haikyuu!!,Manga,45,206090,8.84
Akatsuki no Yona,Manga,NULL,127764,8.83
Ookami to Koushinryou,Light-Novel,NULL,61449,8.83
Kaze no Tani no Nausicaä,Manga,7,54824,8.82
86,Light-Novel,NULL,36153,8.81
Mushoku Tensei: Isekai Ittara Honki Dasu,Light-Novel,26,74051,8.79
"Jumyou wo Kaitotte Moratta. Ichinen ni Tsuki, Ichimanen de.",Manga,3,151604,8.79
Re:Zero kara Hajimeru Isekai Seikatsu,Light-Novel,NULL,65152,8.79
Uchuu Kyoudai,Manga,NULL,32991,8.78
Nana,Manga,21,128202,8.78
Yahari Ore no Seishun Love Comedy wa Machigatteiru.,Light-Novel,18,68418,8.77
Made in Abyss,Manga,NULL,150446,8.77
Chainsaw Man,Manga,NULL,562333,8.75
One Punch-Man,Manga,NULL,454132,8.75
Hunter x Hunter,Manga,NULL,256070,8.73
Honzuki no Gekokujou: Shisho ni Naru Tame ni wa Shudan wo Erandeiraremasen,Light-Novel,NULL,12694,8.72
Mushishi,Manga,10,78507,8.72
Utsuro no Hako to Zero no Maria,Light-Novel,7,100166,8.71
Hajime no Ippo,Manga,NULL,79800,8.71
Kokou no Hito,Manga,17,87313,8.71
Sayonara Eri,Manga,1,90091,8.7
Death Note,Manga,12,379910,8.7
Shoujo Shuumatsu Ryokou,Manga,6,60835,8.7
Kono Oto Tomare!,Manga,NULL,39250,8.69
Beck,Manga,34,74038,8.69
Dorohedoro,Manga,23,160787,8.68
"""Oshi no Ko""",Manga,NULL,143435,8.68
Akira,Manga,6,124509,8.68
Solo Leveling,Manhwa,NULL,430907,8.68
Yokohama Kaidashi Kikou,Manga,14,69851,8.68
The Horizon,Manhwa,3,75610,8.68
Yagate Kimi ni Naru,Manga,8,97046,8.67
Natsume Yuujinchou,Manga,NULL,42145,8.66
Kozure Ookami,Manga,28,43970,8.66
ReLIFE,Manga,15,155374,8.65
Overlord,Light-Novel,NULL,59875,8.65
Zaregoto Series,Light-Novel,NULL,22492,8.65
Blue Period,Manga,NULL,114323,8.65
Shinyaku Toaru Majutsu no Index,Light-Novel,23,14527,8.65
Kimi no Suizou wo Tabetai,Novel,1,5978,8.64
Violet Evergarden,Light-Novel,2,25945,8.64
Kino no Tabi: The Beautiful World,Light-Novel,NULL,17746,8.64
JoJo no Kimyou na Bouken Part 9: The JoJoLands,Manga,NULL,26266,8.63
Golden Kamuy,Manga,31,84796,8.63
Koten-bu Series,Novel,NULL,17228,8.63
Aria,Manga,12,35800,8.63
Banana Fish,Manga,19,52440,8.63
Kono Subarashii Sekai ni Shukufuku wo!,Light-Novel,17,50576,8.62
Gintama,Manga,77,91669,8.62
Pluto,Manga,8,109792,8.62
"Umarekawattemo Mata, Watashi to Kekkon shitekuremasu ka",Manga,4,23706,8.62
Fata Morgana no Yakata: Anata no Genten ni Itaru Monogatari,Light-Novel,5,2129,8.62
